sub_field_name,sub_field_id,topic_name,topic_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Artificial Intelligence,https://openalex.org/subfields/1702,Geochemistry and Geologic Mapping,https://openalex.org/T12157,649,604,751,825,891,795,876,938,971,1014,1004,1067,1134,1292,1294,1176,1258,1295,1240,1263,1378,1300,1235,1411,1323,1457,1489,1480,1386,1467,1640,1877,1884,2211,2169,2305,2425,2478,2702,2976,3297,3115,3461,3401,3947,3707,3886,3743,3921,4465,3873,3566,3154,3199,3534
Artificial Intelligence,https://openalex.org/subfields/1702,Hate Speech and Cyberbullying Detection,https://openalex.org/T12262,20,23,16,22,19,26,23,22,35,21,20,21,16,22,25,22,30,40,41,39,38,54,57,56,60,68,78,68,66,53,92,120,133,106,134,139,184,212,237,243,316,310,433,471,544,615,814,904,1212,1526,1835,1919,1711,2172,2153
Artificial Intelligence,https://openalex.org/subfields/1702,Imbalanced Data Classification Techniques,https://openalex.org/T11652,4,3,5,4,6,6,4,10,5,8,8,10,6,4,11,5,10,9,12,11,13,9,19,18,22,37,22,40,35,44,50,49,105,103,108,146,188,209,262,261,320,355,435,450,523,570,597,617,831,1060,1222,1397,1433,1682,2133
Artificial Intelligence,https://openalex.org/subfields/1702,Intelligent Tutoring Systems and Adaptive Learning,https://openalex.org/T11902,123,110,130,123,136,133,142,174,129,120,142,117,146,162,181,209,254,321,330,264,411,322,312,325,356,301,319,313,339,329,366,358,523,521,540,577,550,658,614,664,719,680,764,795,824,849,831,802,767,753,806,577,473,648,1260
Artificial Intelligence,https://openalex.org/subfields/1702,Internet Traffic Analysis and Secure E-voting,https://openalex.org/T11598,10,10,6,7,7,9,13,9,10,5,6,11,12,9,12,19,20,19,18,18,17,21,28,32,40,45,72,79,63,101,129,154,283,285,413,431,615,678,781,929,936,867,1029,1025,1021,962,1004,909,1079,1122,1197,1274,1179,1373,1218
Artificial Intelligence,https://openalex.org/subfields/1702,Intuitionistic Fuzzy Systems Applications,https://openalex.org/T14175,7,4,5,5,1,4,7,4,5,3,5,4,9,4,12,9,6,8,8,6,5,1,9,7,9,10,11,3,15,18,22,23,27,35,40,39,41,35,64,66,81,87,103,100,97,93,123,138,156,152,137,99,88,79,75
Artificial Intelligence,https://openalex.org/subfields/1702,Law AI and Intellectual Property,https://openalex.org/T13851,19,12,16,21,26,17,25,22,42,36,38,32,55,56,38,37,66,48,78,70,77,73,88,84,102,97,133,117,138,131,183,186,217,235,276,274,294,303,316,341,374,427,441,456,490,600,630,721,809,1029,1155,1019,784,1050,1589
Artificial Intelligence,https://openalex.org/subfields/1702,Linguistic Studies and Language Acquisition,https://openalex.org/T13623,190,165,189,172,190,176,187,240,252,249,266,253,294,281,295,303,326,381,387,415,436,426,473,516,581,593,694,767,859,876,1151,1274,1474,1633,1891,1836,2135,2284,2424,2484,2531,2567,2791,2496,2588,2729,2867,2899,2720,2508,2183,1279,806,991,844
Artificial Intelligence,https://openalex.org/subfields/1702,Logic programming and type systems,https://openalex.org/T10126,99,120,138,132,170,219,245,331,275,284,322,296,330,388,402,420,502,565,683,687,721,774,838,886,835,892,875,864,900,929,892,961,1593,1347,1027,1198,1143,1250,1157,1186,1189,1045,1064,1007,1001,964,904,795,958,750,655,617,472,501,487
Artificial Intelligence,https://openalex.org/subfields/1702,Logic Reasoning and Knowledge,https://openalex.org/T11010,128,102,126,110,116,110,106,109,118,130,159,144,148,187,232,252,310,364,428,414,489,600,652,739,749,753,718,732,663,672,676,713,1093,979,868,919,1026,989,1022,967,999,1006,956,991,911,1029,1003,872,956,887,830,876,664,668,577
