sub_field_name,sub_field_id,topic_name,topic_id,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Artificial Intelligence,https://openalex.org/subfields/1702,Educational Robotics and Engineering,https://openalex.org/T14335,-14.15,31.87,-17.5,-15.15,-2.38,13.41,4.3,1.03,-5.1,8.6,-4.95,14.58,10.0,-9.09,17.27,-5.43,38.52,-18.34,13.04,14.1,-11.8,13.38,10.67,-1.02,11.28,0.46,9.17,8.4,1.55,20.23,36.83,-1.16,17.84,8.17,10.31,23.71,6.75,1.9,8.31,8.93,4.52,0.3,8.73,-5.9,1.18,-17.83,-8.37,-4.12,6.85,-11.93,-26.39,-18.02,-11.82,1.34
Artificial Intelligence,https://openalex.org/subfields/1702,Educational Technology and Pedagogy,https://openalex.org/T12260,0.0,0.0,50.0,-66.67,-50.0,100.0,50.0,0.0,166.67,-62.5,0.0,33.33,-50.0,0.0,100.0,125.0,-11.11,-37.5,80.0,33.33,8.33,23.08,-37.5,-10.0,55.56,14.29,50.0,-33.33,668.75,265.04,116.48,19.96,7.89,6.92,12.49,2.64,2.25,6.99,2.83,7.67,0.37,-22.78,-10.91,-21.79,-16.04,-40.56,3.75,21.86,40.41,71.22,22.26,-5.52,22.81,18.02
Artificial Intelligence,https://openalex.org/subfields/1702,Evolutionary Algorithms and Applications,https://openalex.org/T11975,5.26,-13.33,-21.15,29.27,-3.77,-11.76,4.44,-23.4,38.89,30.0,-10.77,5.17,-3.28,25.42,-6.76,34.78,34.41,-2.4,-4.92,37.07,1.89,20.99,-1.53,26.94,24.49,18.36,3.05,10.22,33.17,-6.41,10.18,140.85,-25.0,-10.91,25.39,8.71,-2.35,-4.98,-2.62,-1.08,-1.72,-2.58,0.38,-5.0,-0.6,-12.87,3.21,2.33,-1.84,-9.06,-6.32,-11.02,-1.9,21.99
Artificial Intelligence,https://openalex.org/subfields/1702,Experience-Based Knowledge Management,https://openalex.org/T13514,0.0,0.0,50.0,-33.33,-50.0,0.0,200.0,0.0,-100.0,200.0,-50.0,600.0,-71.43,-50.0,500.0,-50.0,100.0,-66.67,0.0,250.0,-14.29,-16.67,60.0,25.0,-30.0,57.14,-81.82,250.0,57.14,-54.55,80.0,55.56,-7.14,-30.77,66.67,26.67,5.26,15.0,17.39,96.3,0.0,22.64,1.54,43.94,-42.11,-18.18,0.0,-11.11,0.0,2.5,-39.02,-52.0,-8.33,36.36
Artificial Intelligence,https://openalex.org/subfields/1702,Explainable Artificial Intelligence (XAI),https://openalex.org/T12026,0.0,100.0,0.0,100.0,-50.0,0.0,-100.0,200.0,0.0,0.0,50.0,0.0,-33.33,250.0,-42.86,175.0,-9.09,10.0,0.0,0.0,9.09,-58.33,220.0,-25.0,-66.67,75.0,28.57,-22.22,28.57,-22.22,42.86,-50.0,60.0,0.0,112.5,0.0,-47.06,88.89,-5.88,43.75,-56.52,70.0,35.29,47.83,26.47,44.19,59.68,164.65,98.85,47.02,40.08,3.63,26.71,17.18
Artificial Intelligence,https://openalex.org/subfields/1702,Fuzzy Logic and Control Systems,https://openalex.org/T10820,-25.4,-29.79,-3.03,31.25,-4.76,35.0,48.15,-37.5,4.0,42.31,-9.46,8.96,34.25,-2.04,8.33,12.5,8.55,44.88,9.78,39.11,25.98,28.25,34.58,16.86,-5.46,6.07,0.7,10.96,18.0,-18.33,3.5,338.85,-57.97,-24.59,32.34,-8.24,-2.82,3.59,-5.16,9.32,0.5,-6.36,1.74,-8.91,-2.85,-6.63,-4.31,-7.42,2.13,-11.42,-17.26,-17.62,9.21,40.81
Artificial Intelligence,https://openalex.org/subfields/1702,Gaussian Processes and Bayesian Inference,https://openalex.org/T12814,233.33,30.0,30.77,-64.71,116.67,-30.77,0.0,22.22,-18.18,-22.22,-14.29,16.67,-28.57,80.0,22.22,18.18,15.38,-6.67,-7.14,-7.69,0.0,41.67,17.65,-25.0,33.33,10.0,-27.27,106.25,42.42,25.53,-16.95,30.61,25.0,-3.75,51.95,6.84,33.6,8.38,9.94,11.06,2.26,22.12,17.03,3.72,7.16,3.06,18.38,8.22,8.65,4.47,3.16,-34.95,-0.28,12.78
Artificial Intelligence,https://openalex.org/subfields/1702,Geochemistry and Geologic Mapping,https://openalex.org/T12157,-6.93,24.34,9.85,8.0,-10.77,10.19,7.08,3.52,4.43,-0.99,6.27,6.28,13.93,0.15,-9.12,6.97,2.94,-4.25,1.85,9.11,-5.66,-5.0,14.25,-6.24,10.13,2.2,-0.6,-6.35,5.84,11.79,14.45,0.37,17.36,-1.9,6.27,5.21,2.19,9.04,10.14,10.79,-5.52,11.11,-1.73,16.05,-6.08,4.83,-3.68,4.76,13.87,-13.26,-7.93,-11.55,1.43,10.47
Artificial Intelligence,https://openalex.org/subfields/1702,Hate Speech and Cyberbullying Detection,https://openalex.org/T12262,15.0,-30.43,37.5,-13.64,36.84,-11.54,-4.35,59.09,-40.0,-4.76,5.0,-23.81,37.5,13.64,-12.0,36.36,33.33,2.5,-4.88,-2.56,42.11,5.56,-1.75,7.14,13.33,14.71,-12.82,-2.94,-19.7,73.58,30.43,10.83,-20.3,26.42,3.73,32.37,15.22,11.79,2.53,30.04,-1.9,39.68,8.78,15.5,13.05,32.36,11.06,34.07,25.91,20.25,4.58,-10.84,26.94,-0.87
Artificial Intelligence,https://openalex.org/subfields/1702,Imbalanced Data Classification Techniques,https://openalex.org/T11652,-25.0,66.67,-20.0,50.0,0.0,-33.33,150.0,-50.0,60.0,0.0,25.0,-40.0,-33.33,175.0,-54.55,100.0,-10.0,33.33,-8.33,18.18,-30.77,111.11,-5.26,22.22,68.18,-40.54,81.82,-12.5,25.71,13.64,-2.0,114.29,-1.9,4.85,35.19,28.77,11.17,25.36,-0.38,22.61,10.94,22.54,3.45,16.22,8.99,4.74,3.35,34.68,27.56,15.28,14.32,2.58,17.38,26.81
Artificial Intelligence,https://openalex.org/subfields/1702,Intelligent Tutoring Systems and Adaptive Learning,https://openalex.org/T11902,-10.57,18.18,-5.38,10.57,-2.21,6.77,22.54,-25.86,-6.98,18.33,-17.61,24.79,10.96,11.73,15.47,21.53,26.38,2.8,-20.0,55.68,-21.65,-3.11,4.17,9.54,-15.45,5.98,-1.88,8.31,-2.95,11.25,-2.19,46.09,-0.38,3.65,6.85,-4.68,19.64,-6.69,8.14,8.28,-5.42,12.35,4.06,3.65,3.03,-2.12,-3.49,-4.36,-1.83,7.04,-28.41,-18.02,37.0,94.44
